"LABEL","PLATFORM","TYPE","RUSSIAN","ENGLISH","AMERICAN"
"A06_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Once Upon A Time Machine in the West''","Пройдите ''Однажды на машине времени на Западе''","Пройдите ''Однажды на машине времени на Западе''"
"A06_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Once Upon A Time Machine in the West''","Уровень ''Однажды на машине времени на Западе'' пройден","Уровень ''Однажды на машине времени на Западе'' пройден"
"A06_NAME_OF_ACHIEVEMENT","All","Ach_Name","Interdimensional Showdown","Межпространственное противостояние","Межпространственное противостояние"
"A07_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Aperture Science Enrichment Centre''","Пройдите ''Центр развития Aperture Science''","Пройдите ''Центр развития Aperture Science''"
"A07_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Aperture Science Enrichment Centre''","Уровень ''Центр развития Aperture Science'' пройден","Уровень ''Центр развития Aperture Science'' пройден"
"A07_NAME_OF_ACHIEVEMENT","All","Ach_Name","GLaD to be out of There!","GLaD выбраться отсюда!","GLaD выбраться отсюда!"
"A08_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Riddle-earth''","Пройдите ''Загадочная земля''","Пройдите ''Загадочная земля''"
"A08_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Riddle-earth''","Уровень ''Загадочная земля'' пройден","Уровень ''Загадочная земля'' пройден"
"A08_NAME_OF_ACHIEVEMENT","All","Ach_Name","Riddle Me That!","Загадай-ка!","Загадай-ка!"
"A09_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''The Phantom Zone''","Пройдите ''Фантомная зона''","Пройдите ''Фантомная зона''"
"A09_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''The Phantom Zone''","Уровень ''Фантомная зона'' пройден","Уровень ''Фантомная зона'' пройден"
"A09_NAME_OF_ACHIEVEMENT","All","Ach_Name","Ghost... busted!","Призрак... пойман!","Призрак... пойман!"
"A10_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''All Your Bricks Are Belong To Us''","Пройдите ''Все ваши кирпичи принадлежат нам''","Пройдите ''Все ваши кирпичи принадлежат нам''"
"A10_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''All Your Bricks Are Belong To Us''","Уровень ''Все ваши кирпичи принадлежат нам'' пройден","Уровень ''Все ваши кирпичи принадлежат нам'' пройден"
"A10_NAME_OF_ACHIEVEMENT","All","Ach_Name","Enter Your Initials: ''AAA''","Введите свои инициалы: ''AAA''","Введите свои инициалы: ''AAA''"
"A11_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Mystery Mansion Mash-Up''","Пройдите ''Переполох в особняке тайн''","Пройдите ''Переполох в особняке тайн''"
"A11_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Mystery Mansion Mash-Up''","Уровень ''Переполох в особняке тайн'' пройден","Уровень ''Переполох в особняке тайн'' пройден"
"A11_NAME_OF_ACHIEVEMENT","All","Ach_Name","Zoinks!","Вот это да!","Вот это да!"
"A12_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Prime Time''","Пройдите ''Прайм-тайм''","Пройдите ''Прайм-тайм''"
"A12_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Prime Time''","Уровень ''Прайм-тайм'' пройден","Уровень ''Прайм-тайм'' пройден"
"A12_NAME_OF_ACHIEVEMENT","All","Ach_Name","Tri Again Next Time","В следующий три-раз","В следующий три-раз"
"A13_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''The End is Tri''","Пройдите ''Тройной конец''","Пройдите ''Тройной конец''"
"A13_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''The End is Tri''","Уровень ''Тройной конец'' пройден","Уровень ''Тройной конец'' пройден"
"A13_NAME_OF_ACHIEVEMENT","All","Ach_Name","Tri Hard with a Vengeance!","Три крепких орешка!","Три крепких орешка!"
"A14_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''The Final Dimension''","Пройдите ''Последнее измерение''","Пройдите ''Последнее измерение''"
"A14_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''The Final Dimension''","Уровень ''Последнее измерение'' пройден","Уровень ''Последнее измерение'' пройден"
"A14_NAME_OF_ACHIEVEMENT","All","Ach_Name","A Serious Loophole","Серьёзная лазейка","Серьёзная лазейка"
"A15_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Rebuild the LEGO Gateway","Восстановите LEGO-портал","Восстановите LEGO-портал"
"A15_DESC2_OF_ACHIEVEMENT","All","Marketing","Rebuilt the LEGO Gateway","LEGO-портал восстановлен","LEGO-портал восстановлен"
"A15_NAME_OF_ACHIEVEMENT","All","Ach_Name","Time to Break the Rules!","Пора нарушать правила!","Пора нарушать правила!"
"A16_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete all story levels","Пройдите все сюжетные уровни","Пройдите все сюжетные уровни"
"A16_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed all story levels","Все сюжетные уровни пройдены","Все сюжетные уровни пройдены"
"A16_NAME_OF_ACHIEVEMENT","All","Ach_Name","Broke the Rules!","Правила нарушены!","Правила нарушены!"
"A17_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect all of the Gateway Keystones","Соберите все ключевые камни портала","Соберите все ключевые камни портала"
"A17_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected all of the Gateway Keystones","Все ключевые камни портала собраны","Все ключевые камни портала собраны"
"A17_NAME_OF_ACHIEVEMENT","All","Ach_Name","The Keystone to Victory","Ключ к победе","Ключ к победе"
"A18_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect 30 Minikits from levels","Соберите 30 мини-наборов на уровнях","Соберите 30 мини-наборов на уровнях"
"A18_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected 30 Minikits from levels","30 мини-наборов собрано","30 мини-наборов собрано"
"A18_NAME_OF_ACHIEVEMENT","All","Ach_Name","Rare Artefacts, collected!","Редкие артефакты собраны!","Редкие артефакты собраны!"
"A19_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Upgrade the Batmobile to Model 2","Улучшите Бэтмобиль до модели 2","Улучшите Бэтмобиль до модели 2"
"A19_DESC2_OF_ACHIEVEMENT","All","Marketing","Upgraded the Batmobile to Model 2","Бэтмобиль улучшен до модели 2","Бэтмобиль улучшен до модели 2"
"A19_NAME_OF_ACHIEVEMENT","All","Ach_Name","Na na na na na na na upgrades!","На-на-на-на-на-на-на улучшения!","На-на-на-на-на-на-на улучшения!"
"A20_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Upgrade the Batmobile to Model 3","Улучшите Бэтмобиль до модели 3","Улучшите Бэтмобиль до модели 3"
"A20_DESC2_OF_ACHIEVEMENT","All","Marketing","Upgraded the Batmobile to Model 3","Бэтмобиль улучшен до модели 3","Бэтмобиль улучшен до модели 3"
"A20_NAME_OF_ACHIEVEMENT","All","Ach_Name","Holy Upgrades, Batman!","Святые улучшения, Бэтмен!","Святые улучшения, Бэтмен!"
"A21_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Visit any Hub World for the First Time","Впервые посетите любой мир приключений","Впервые посетите любой мир приключений"
"A21_DESC2_OF_ACHIEVEMENT","All","Marketing","Visited any Hub World for the First Time","Любой мир приключений впервые посещён","Любой мир приключений впервые посещён"
"A21_NAME_OF_ACHIEVEMENT","All","Ach_Name","Home, Sweet Home","Дом, милый дом","Дом, милый дом"
"A22_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Visit the homes of Batman, Gandalf and Wyldstyle","Посетите дома Бэтмена, Гэндальфа и Дикарки","Посетите дома Бэтмена, Гэндальфа и Дикарки"
"A22_DESC2_OF_ACHIEVEMENT","All","Marketing","Visited the homes of Batman, Gandalf and Wyldstyle","Дома Бэтмена, Гэндальфа и Дикарки посещены","Дома Бэтмена, Гэндальфа и Дикарки посещены"
"A22_NAME_OF_ACHIEVEMENT","All","Ach_Name","Dimensional Explorer","Исследователь измерений","Исследователь измерений"
"A23_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect 5 Gold Bricks","Соберите 5 золотых кирпичей","Соберите 5 золотых кирпичей"
"A23_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected 5 Gold Bricks","5 золотых кирпичей собрано","5 золотых кирпичей собрано"
"A23_NAME_OF_ACHIEVEMENT","All","Ach_Name","Time for an Upgrade!","Время для улучшения!","Время для улучшения!"
"A24_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect 30 Gold Bricks","Соберите 30 золотых кирпичей","Соберите 30 золотых кирпичей"
"A24_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected 30 Gold Bricks","30 золотых кирпичей собрано","30 золотых кирпичей собрано"
"A24_NAME_OF_ACHIEVEMENT","All","Ach_Name","The Real Golden Master!","Настоящий Золотой Мастер!","Настоящий Золотой Мастер!"
"A25_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete a race in any of the hub worlds","Выиграйте гонку в любом мире приключений","Выиграйте гонку в любом мире приключений"
"A25_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed a race in any of the hub worlds","Гонка в мире приключений завершена","Гонка в мире приключений завершена"
"A25_NAME_OF_ACHIEVEMENT","All","Ach_Name","Dimensional Dasher","Скоростной покоритель измерений","Скоростной покоритель измерений"
"A26_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete 5 hub races","Выиграйте 5 гонок в мирах приключений","Выиграйте 5 гонок в мирах приключений"
"A26_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed 5 hub races","5 гонок в мирах приключений завершены","5 гонок в мирах приключений завершены"
"A26_NAME_OF_ACHIEVEMENT","All","Ach_Name","Pedal to the Metal","Педаль в пол!","Педаль в пол!"
"A27_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete one of the Two-Player Battle modes","Пройдите любой режим двухпользовательской битвы","Пройдите любой режим двухпользовательской битвы"
"A27_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed one of the Two-Player Battle modes","Режим двухпользовательской битвы пройден","Режим двухпользовательской битвы пройден"
"A27_NAME_OF_ACHIEVEMENT","All","Ach_Name","Winner Stays On","Победитель остаётся","Победитель остаётся"
"A28_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete one of each type of the Two-Player Battle modes","Пройдите все виды двухпользовательских битв","Пройдите все виды двухпользовательских битв"
"A28_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed one of each type of the Two-Player Battle modes","Все виды двухпользовательских битв пройдены","Все виды двухпользовательских битв пройдены"
"A28_NAME_OF_ACHIEVEMENT","All","Ach_Name","Score-Settler","Счёты сведены","Счёты сведены"
"A29_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete any hub world quest","Выполните любое задание в мире приключений","Выполните любое задание в мире приключений"
"A29_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed any hub world quest","Задание в мире приключений выполнено","Задание в мире приключений выполнено"
"A29_NAME_OF_ACHIEVEMENT","All","Ach_Name","The Heroes We Need","Герои, которые нам нужны","Герои, которые нам нужны"
"A30_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete any hub world renovation","Завершите любое восстановление мира приключений","Завершите любое восстановление мира приключений"
"A30_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed any hub world renovation","Восстановление мира приключений завершено","Восстановление мира приключений завершено"
"A30_NAME_OF_ACHIEVEMENT","All","Ach_Name","Restoring Order","Восстановление порядка","Восстановление порядка"
"A31_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete 15 hub world renovations","Завершите 15 восстановлений миров приключений","Завершите 15 восстановлений миров приключений"
"A31_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed 15 hub world renovations","15 восстановлений миров приключений завершены","15 восстановлений миров приключений завершены"
"A31_NAME_OF_ACHIEVEMENT","All","Ach_Name","Official Master Builder","Официальный мастер-строитель","Официальный мастер-строитель"
"A32_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Travel through 20 rifts throughout the game","Пройдите через 20 разломов за игру","Пройдите через 20 разломов за игру"
"A32_DESC2_OF_ACHIEVEMENT","All","Marketing","Travelled through 20 rifts throughout the game","Пройдено 20 разломов","Пройдено 20 разломов"
"A32_NAME_OF_ACHIEVEMENT","All","Ach_Name","Taking the Tube","По трубам!","По трубам!"
"A33_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Aperture Science Enrichment Centre'' within 25 minutes","Пройдите ''Центр развития Aperture Science'' менее чем за 25 минут","Пройдите ''Центр развития Aperture Science'' менее чем за 25 минут"
"A33_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Aperture Science Enrichment Centre'' within 25 minutes","Уровень ''Центр развития Aperture Science'' пройден менее чем за 25 минут","Уровень ''Центр развития Aperture Science'' пройден менее чем за 25 минут"
"A33_NAME_OF_ACHIEVEMENT","All","Ach_Name","Speedy Thing Goes In...","Быстрая штука входит...","Быстрая штука входит..."
"A34_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete a level while only ever keeping one character active on the Toy Pad","Пройдите уровень, используя только одного активного персонажа на Toy Pad","Пройдите уровень, используя только одного активного персонажа на Toy Pad"
"A34_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed a level while only ever keeping one character active on the Toy Pad","Уровень пройден с использованием только одного активного персонажа на Toy Pad","Уровень пройден с использованием только одного активного персонажа на Toy Pad"
"A34_NAME_OF_ACHIEVEMENT","All","Ach_Name","Forever Alone","Навсегда один","Навсегда один"
"A35_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete 25 'Locate Mode' puzzles","Решите 25 головоломок в 'Режиме поиска'","Решите 25 головоломок в 'Режиме поиска'"
"A35_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed 25 'Locate Mode' puzzles","Решено 25 головоломок в 'Режиме поиска'","Решено 25 головоломок в 'Режиме поиска'"
"A35_NAME_OF_ACHIEVEMENT","All","Ach_Name","Lost Property","Бюро находок","Бюро находок"
"A36_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete 25 'Chroma Mode' puzzles","Решите 25 головоломок в 'Режиме хромы'","Решите 25 головоломок в 'Режиме хромы'"
"A36_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed 25 'Chroma Mode' puzzles","Решено 25 головоломок в 'Режиме хромы'","Решено 25 головоломок в 'Режиме хромы'"
"A36_NAME_OF_ACHIEVEMENT","All","Ach_Name","Painting by Numbers","Раскраска по номерам","Раскраска по номерам"
"A37_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Enter 'Elemental Mode' on 25 unique occasions","Войдите в 'Режим стихий' 25 раз","Войдите в 'Режим стихий' 25 раз"
"A37_DESC2_OF_ACHIEVEMENT","All","Marketing","Entered 'Elemental Mode' on 25 unique occasions","25 раз выполнен вход в 'Режим стихий'","25 раз выполнен вход в 'Режим стихий'"
"A37_NAME_OF_ACHIEVEMENT","All","Ach_Name","Elemental, My Dear","Элементарно, мой дорогой","Элементарно, мой дорогой"
"A38_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Shift through 50 ''Shift Mode'' rifts","Пройдите через 50 разломов ''Режима сдвига''","Пройдите через 50 разломов ''Режима сдвига''"
"A38_DESC2_OF_ACHIEVEMENT","All","Marketing","Shifted through 50 ''Shift Mode'' rifts","Пройдено 50 разломов ''Режима сдвига''","Пройдено 50 разломов ''Режима сдвига''"
"A38_NAME_OF_ACHIEVEMENT","All","Ach_Name","Too Old for This Shift","Я слишком стар для этого сдвига","Я слишком стар для этого сдвига"
"A39_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Give the Batmobile a pink paint job","Покрасьте Бэтмобиль в розовый цвет","Покрасьте Бэтмобиль в розовый цвет"
"A39_DESC2_OF_ACHIEVEMENT","All","Marketing","Gave the Batmobile a pink paint job","Бэтмобиль покрашен в розовый цвет","Бэтмобиль покрашен в розовый цвет"
"A39_NAME_OF_ACHIEVEMENT","All","Ach_Name","But Does it Come in Pink?","А розовый есть?","А розовый есть?"
"A40_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Give the Batmobile a chrome paint job","Покрасьте Бэтмобиль в хромированный цвет","Покрасьте Бэтмобиль в хромированный цвет"
"A40_DESC2_OF_ACHIEVEMENT","All","Marketing","Gave the Batmobile a chrome paint job","Бэтмобиль покрашен в хромированный цвет","Бэтмобиль покрашен в хромированный цвет"
"A40_NAME_OF_ACHIEVEMENT","All","Ach_Name","Do You Like Bling, Batman?","Любишь поблестеть, Бэтмен?","Любишь поблестеть, Бэтмен?"
"A41_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''The Mysterious Voyage of Homer''","Пройдите ''Таинственное путешествие Гомера''","Пройдите ''Таинственное путешествие Гомера''"
"A41_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''The Mysterious Voyage of Homer''","Уровень ''Таинственное путешествие Гомера'' пройден","Уровень ''Таинственное путешествие Гомера'' пройден"
"A41_NAME_OF_ACHIEVEMENT","All","Ach_Name","In your face, space coyote!","Получай, космический койот!","Получай, космический койот!"
"A42_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Build Homer's Car","Постройте машину Гомера","Постройте машину Гомера"
"A42_DESC2_OF_ACHIEVEMENT","All","Marketing","Built Homer's Car","Машина Гомера построена","Машина Гомера построена"
"A42_NAME_OF_ACHIEVEMENT","All","Ach_Name","Needs more bubble domes","Нужно больше пузырьковых куполов","Нужно больше пузырьковых куполов"
"A43_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect any Minikit within the 'The Mysterious Voyage of Homer' level","Соберите любой мини-набор на уровне 'Таинственное путешествие Гомера'","Соберите любой мини-набор на уровне 'Таинственное путешествие Гомера'"
"A43_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected any Minikit within the 'The Mysterious Voyage of Homer' level","Любой мини-набор на уровне 'Таинственное путешествие Гомера' собран","Любой мини-набор на уровне 'Таинственное путешествие Гомера' собран"
"A43_NAME_OF_ACHIEVEMENT","All","Ach_Name","Mmmm... collectables!","Ммм... коллекционки!","Ммм... коллекционки!"
"A44_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Achieve the ''Rule Breaker'' stud goal in the ''The Mysterious Voyage of Homer'' level","Получите статус ''Нарушитель правил'' на уровне ''Таинственное путешествие Гомера''","Получите статус ''Нарушитель правил'' на уровне ''Таинственное путешествие Гомера''"
"A44_DESC2_OF_ACHIEVEMENT","All","Marketing","Achieved the ''Rule Breaker'' stud goal in the ''The Mysterious Voyage of Homer'' level","Статус ''Нарушитель правил'' на уровне ''Таинственное путешествие Гомера'' получен","Статус ''Нарушитель правил'' на уровне ''Таинственное путешествие Гомера'' получен"
"A44_NAME_OF_ACHIEVEMENT","All","Ach_Name","Owww, rules? I hate rules!","Ой, правила? Терпеть их не могу!","Ой, правила? Терпеть их не могу!"
"A45_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Back to the Future!''","Пройдите ''Назад в будущее!''","Пройдите ''Назад в будущее!''"
"A45_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Back to the Future!''","Уровень ''Назад в будущее!'' пройден","Уровень ''Назад в будущее!'' пройден"
"A45_NAME_OF_ACHIEVEMENT","All","Ach_Name","That was heavy!","Вот это было тяжело!","Вот это было тяжело!"
"A46_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Build the DeLorean Time Machine","Постройте машину времени DeLorean","Постройте машину времени DeLorean"
"A46_DESC2_OF_ACHIEVEMENT","All","Marketing","Built the DeLorean Time Machine","Машина времени DeLorean построена","Машина времени DeLorean построена"
"A46_NAME_OF_ACHIEVEMENT","All","Ach_Name","Why not do it with some style?","Почему бы не сделать это стильно?","Почему бы не сделать это стильно?"
"A47_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect any Minikit within the 'Back to the Future!' level","Соберите любой мини-набор на уровне 'Назад в будущее!'","Соберите любой мини-набор на уровне 'Назад в будущее!'"
"A47_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected any Minikit within the 'Back to the Future!' level","Любой мини-набор на уровне 'Назад в будущее!' собран","Любой мини-набор на уровне 'Назад в будущее!' собран"
"A47_NAME_OF_ACHIEVEMENT","All","Ach_Name","Mr. Fusion Home Energy Reactor","Домашний энергетический реактор Mr. Fusion","Домашний энергетический реактор Mr. Fusion"
"A48_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Achieve the ''Rule Breaker'' stud goal in the ''Back to the Future!'' level","Получите статус ''Нарушитель правил'' на уровне ''Назад в будущее!''","Получите статус ''Нарушитель правил'' на уровне ''Назад в будущее!''"
"A48_DESC2_OF_ACHIEVEMENT","All","Marketing","Achieved the ''Rule Breaker'' stud goal in the ''Back to the Future!'' level","Статус ''Нарушитель правил'' на уровне ''Назад в будущее!'' получен","Статус ''Нарушитель правил'' на уровне ''Назад в будущее!'' получен"
"A48_NAME_OF_ACHIEVEMENT","All","Ach_Name","Rules? ...We don't need rules!","Правила? ...Нам не нужны правила!","Правила? ...Нам не нужны правила!"
"A49_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Aperture Science''","Пройдите ''Aperture Science''","Пройдите ''Aperture Science''"
"A49_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Aperture Science''","Уровень ''Aperture Science'' пройден","Уровень ''Aperture Science'' пройден"
"A49_NAME_OF_ACHIEVEMENT","All","Ach_Name","It's been fun. Don't come back","Было весело. Не возвращайся","Было весело. Не возвращайся"
"A50_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect any Minikit within the 'Aperture Science' level","Соберите любой мини-набор на уровне 'Aperture Science'","Соберите любой мини-набор на уровне 'Aperture Science'"
"A50_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected any Minikit within the 'Aperture Science' level","Любой мини-набор на уровне 'Aperture Science' собран","Любой мини-набор на уровне 'Aperture Science' собран"
"A50_NAME_OF_ACHIEVEMENT","All","Ach_Name","When life gives you Minikits...","Когда жизнь дарит тебе мини-наборы...","Когда жизнь дарит тебе мини-наборы..."
"A51_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Hunt down all the security cameras in Test Chamber 93","Уничтожьте все камеры наблюдения в испытательной камере 93","Уничтожьте все камеры наблюдения в испытательной камере 93"
"A51_DESC2_OF_ACHIEVEMENT","All","Marketing","Hunted down all the security cameras in Test Chamber 93","Все камеры наблюдения в испытательной камере 93 уничтожены","Все камеры наблюдения в испытательной камере 93 уничтожены"
"A51_NAME_OF_ACHIEVEMENT","All","Ach_Name","Still camera shy","Всё ещё стесняется камеры","Всё ещё стесняется камеры"
"A52_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Achieve the ''Rule Breaker'' stud goal in the ''Aperture Science'' level","Получите статус ''Нарушитель правил'' на уровне ''Aperture Science''","Получите статус ''Нарушитель правил'' на уровне ''Aperture Science''"
"A52_DESC2_OF_ACHIEVEMENT","All","Marketing","Achieved the ''Rule Breaker'' stud goal in the ''Aperture Science'' level","Статус ''Нарушитель правил'' на уровне ''Aperture Science'' получен","Статус ''Нарушитель правил'' на уровне ''Aperture Science'' получен"
"A52_NAME_OF_ACHIEVEMENT","All","Ach_Name","For science... you monster","Во имя науки... чудовище","Во имя науки... чудовище"
"A53_DESC_OF_ACHIEVEMENT","All","Ach_Desc","A53_DESC_OF_ACHIEVEMENT","A53_DESC_OF_ACHIEVEMENT","A53_DESC_OF_ACHIEVEMENT"
"A53_DESC2_OF_ACHIEVEMENT","All","Marketing","A53_DESC2_OF_ACHIEVEMENT","A53_DESC2_OF_ACHIEVEMENT","A53_DESC2_OF_ACHIEVEMENT"
"A53_NAME_OF_ACHIEVEMENT","All","Ach_Name","A53_NAME_OF_ACHIEVEMENT","A53_NAME_OF_ACHIEVEMENT","A53_NAME_OF_ACHIEVEMENT"
"A54_DESC_OF_ACHIEVEMENT","All","Ach_Desc","A54_DESC_OF_ACHIEVEMENT","A54_DESC_OF_ACHIEВEMENT","A54_DESC_OF_ACHIEВEMENT"
"A54_DESC2_OF_ACHIEVEMENT","All","Marketing","A54_DESC2_OF_ACHIEVEMENT","A54_DESC2_OF_ACHIEVEMENT","A54_DESC2_OF_ACHIEVEMENT"
"A54_NAME_OF_ACHIEVEMENT","All","Ach_Name","A54_NAME_OF_ACHIEVEMENT","A54_NAME_OF_ACHIEVEMENT","A54_NAME_OF_ACHIEVEMENT"
"A55_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete 'Ghostbusters!'","Пройдите 'Охотники за привидениями!'","Пройдите 'Охотники за привидениями!'"
"A55_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed 'Ghostbusters!'","Уровень 'Охотники за привидениями!' пройден","Уровень 'Охотники за привидениями!' пройден"
