"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","SPANISH","ITALIAN","DANISH","FRENCH CANADIAN","DUTCH","MEXICAN"
"A03_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Elements of Surprise''","Complete ''Elements of Surprise''","Terminez ''Éléments surprenants''.","Beende „Überraschungselemente“","Completa «Elementos de sorpresa»","Completa ''Elementi a sorpresa''","Gennemfør 'Overraskelseselementet'","Terminez ''Éléments surprenants''.","Voltooi 'Verrassende elementen'","Completa «Elementos de sorpresa»"
"A03_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Elements of Surprise''","Completed ''Elements of Surprise''","Vous avez terminé ''Éléments surprenants''.","Du hast „Überraschungselemente“ beendet","Completaste «Elementos de sorpresa»","Hai completato ''Elementi a sorpresa''","Gennemførte 'Overraskelseselementet'","Vous avez terminé ''Éléments surprenants''.","Voltooid: 'Verrassende elementen'","Completaste «Elementos de sorpresa»"
"A03_NAME_OF_ACHIEVEMENT","All","Ach_Name","Of Mice and Chen","Of Mice and Chen","Des souris et des... Chen","Chens Arena","De ratones y Chen","Chen e l'elemento dimenticato","Får som for-Chen-t","Des souris et des... Chen","Zen en Chen","De ratones y Chen"
"A04_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''A Dalektable Adventure''","Complete ''A Dalektable Adventure''","Terminez ''Une aventure Dalek-table''.","Beende „Der Doctor hört ein Who“","Completa «Una aventura dalekciosa»","Completa ''Un'avventura Dalek''","Gennemførte 'Et Dalekte Eventyr'","Terminez ''Une aventure Dalek-table''.","Voltooi 'Een Dalektisch avontuur'","Completa «Una aventura dalekciosa»"
"A04_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''A Dalektable Adventure''","Completed ''A Dalektable Adventure''","Vous avez terminé ''Une aventure Dalek-table''.","Du hast „Der Doctor hört ein Who“ beendet","Completaste «Una aventura dalekciosa»","Hai completato ''Un'avventura Dalek''","Gennemfør 'Et Dalekte Eventyr'","Vous avez terminé ''Une aventure Dalek-table''.","Voltooid: 'Een Dalektisch avontuur'","Completaste «Una aventura dalekciosa»"
"A04_NAME_OF_ACHIEVEMENT","All","Ach_Name","In the Nick of Timey-Wimey","In the Nick of Timey-Wimey","Juste à... timey-wimey","Wibbelig-wobbelig-rechtzeitig","Justo a tiempo","Appena in tempo che va e viene","I sidste øjeblik","Juste à... timey-wimey","Op het nippertje","Justísimo a tiempo"
"A05_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Painting the Town Black''","Complete ''Painting the Town Black''","Terminez ''Peindre la ville en noir''.","Beende „Ärger in der Innenstadt“","Completa «Pintar la ciudad de negro»","Completa ''Dipingi la città di nero''","Gennemfør 'Vi maler byen... sort?'","Terminez ''Peindre la ville en noir''.","Voltooi 'Een zwarte stad'","Completa «Pintando la ciudad de negro»"
"A05_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Painting the Town Black''","Completed ''Painting the Town Black''","Vous avez terminé ''Peindre la ville en noir''.","Du hast „Ärger in der Innenstadt“ beendet","Completaste «Pintar la ciudad de negro»","Hai completato ''Dipingi la città di nero''","Gennemførte 'Vi maler byen... sort?'","Vous avez terminé ''Peindre la ville en noir''.","Voltooid: 'Een zwarte stad'","Completaste «Pintando la ciudad de negro»"
"A05_NAME_OF_ACHIEVEMENT","All","Ach_Name","Simply Walked Into... Metropolis","Simply Walked Into... Metropolis","Entrée facile dans... Metropolis","Einfach nach Metropolis spaziert","Entré fácilmente en Metrópolis","Una passeggiata a Metropolis","Gik bare ind... i Metropolis","Entrée facile dans... Metropolis","Ik stuitte zo op ... Metropolis","Me topé con... Metrópolis"
"A06_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Once Upon A Time Machine in the West''","Complete ''Once Upon A Time Machine in the West''","Terminez ''Il était une fois dans le temps dans l'Ouest''.","Beende „Es war einmal eine Zeitmaschine im Westen“","Completa «Érase una vez una máquina del tiempo en el oeste»","Completa ''C'era una volta una macchina del tempo nel West''","Gennemfør 'Tiden flyver i vesten'","Terminez ''Il était une fois dans le temps dans l'Ouest''.","Voltooi 'Er was eens een tijdmachine in het westen'","Completa «Había una vez una máquina del tiempo en el oeste»"
"A06_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Once Upon A Time Machine in the West''","Completed ''Once Upon A Time Machine in the West''","Vous avez terminé ''Il était une fois dans le temps dans l'Ouest''.","Du hast „Es war einmal eine Zeitmaschine im Westen“ beendet","Completaste «Érase una vez una máquina del tiempo en el oeste»","Hai completato ''C'era una volta una macchina del tempo nel West''","Gennemførte 'Tiden flyver i vesten'","Vous avez terminé ''Il était une fois dans le temps dans l'Ouest''.","Voltooid: 'Er was eens een tijdmachine in het westen'","Completaste «Había una vez una máquina del tiempo en el oeste»"
"A06_NAME_OF_ACHIEVEMENT","All","Ach_Name","Interdimensional Showdown","Interdimensional Showdown","Combat interdimensionnel","Das interdimensionale Halbfinale","Confrontación interdimensional","Resa dei conti interdimensionale","Interdimensionelt opgør","Combat interdimensionnel","Interdimensionale confrontatie","Duelo interdimensional"
"A07_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Aperture Science Enrichment Centre''","Complete ''Aperture Science Enrichment Center''","Terminez ''Centre d'enrichissement d'Aperture Science''.","Beende „Aperture Science Enrichment Centre“","Completa «Centro de desarrollo de Aperture Science»","Completa ''Centro di Arricchimento Aperture Science''","Gennemfør ''Aperture Science berigelsescenter''","Terminez ''Centre d'enrichissement d'Aperture Science''.","Voltooi 'Verrijkingscentrum Aperture Science'","Completa «Centro de desarrollo de Aperture Science»"
"A07_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Aperture Science Enrichment Centre''","Completed ''Aperture Science Enrichment Center''","Vous avez terminé ''Centre d'enrichissement d'Aperture Science''.","Du hast „Aperture Science Enrichment Centre“ beendet","Completaste «Centro de desarrollo de Aperture Science»","Hai completato ''Centro di Arricchimento Aperture Science''","Gennemførte ''Aperture Science berigelsescenter''","Vous avez terminé ''Centre d'enrichissement d'Aperture Science''.","Voltooid: 'Verrijkingscentrum Aperture Science'","Completaste «Centro de desarrollo de Aperture Science»"
"A07_NAME_OF_ACHIEVEMENT","All","Ach_Name","GLaD to be out of There!","GLaD to be out of There!","GLaDOS s'adosse à la sortie","Unwissenschaftlich","¡Me aGLaDA no estar ahí!","GLaDOS in libertà!","GLaD for at være ude derfra!","GLaDOS s'adosse à la sortie","GLaD vergeten hoe erg het was!","¡Me AGLaDA no estar ahí!"
"A08_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Riddle-earth''","Complete ''Riddle-earth''","Terminez ''La Terre des devinettes''.","Beende „Knobelerde“","Completa «Acertijos de la Tierra Media»","Completa ''Terra degli indovinelli''","Gennemfør 'Gådegård'","Terminez ''La Terre des devinettes''.","Voltooi 'Raadsel-aarde'","Completa «Acertijos de Tierra Media»"
"A08_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Riddle-earth''","Completed ''Riddle-earth''","Vous avez terminé ''La Terre des devinettes''.","Du hast „Knobelerde“ beendet","Completa «Acertijos de la Tierra Media»","Hai completato ''Terra degli indovinelli''","Gennemførte 'Gådegård'","Vous avez terminé ''La Terre des devinettes''.","Voltooid: 'Raadsel-aarde'","Completaste «Acertijos de Tierra Media»"
"A08_NAME_OF_ACHIEVEMENT","All","Ach_Name","Riddle Me That!","Riddle Me That!","Creuse-toi le ciboulot !","Rat doch mal!","Adivina, adivinanza","Indovina, indovinello!","Stil mig en gåde!","Creuse-toi le ciboulot !","Raadselachtiger kan niet!","¡Adivíname eso!"
"A09_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''The Phantom Zone''","Complete ''The Phantom Zone''","Terminez ''La Zone Fantôme''.","Beende „Die Phantomzone“","Completa «La Zona fantasma»","Completa ''La zona fantasma''","Gennemfør 'Fantomzonen'","Terminez ''La Zone Fantôme''.","Voltooi 'Het spookgebied'","Completa «La Zona Fantasma»"
"A09_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''The Phantom Zone''","Completed ''The Phantom Zone''","Vous avez terminé ''La Zone Fantôme''.","Du hast „Die Phantomzone“ beendet","Completaste «La Zona fantasma»","Hai completato ''La zona fantasma''","Gennemførte 'Fantomzonen'","Vous avez terminé ''La Zone Fantôme''.","Voltooid: 'Het spookgebied'","Completaste «La Zona Fantasma»"
"A09_NAME_OF_ACHIEVEMENT","All","Ach_Name","Ghost... busted!","Ghost... busted!","S.O.S. pour les fantômes !","Geister gejagt!","Fantasmas cazados","Fantasmi?... Addio!","Ghost... busted!","S.O.S. pour les fantômes !","Ghost... busted!","Fantasmas cazados"
"A10_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''All Your Bricks Are Belong To Us''","Complete ''All Your Bricks Are Belong To Us''","Terminez ''Toutes vos briques sont à nous''.","Beende „Alle deine Steine sind gehören uns“","Completa «Todos tus ladrillos nos pertenecen»","Completa ''Tutti i tuoi mattoncini appartengono a noi''","Gennemfør 'Alle dine sten tilhører os'","Terminez ''Toutes vos briques sont à nous''.","Voltooi 'All your stenen are belong to us'","Completa «Todos sus ladrillos nos pertenecen»"
"A10_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''All Your Bricks Are Belong To Us''","Completed ''All Your Bricks Are Belong To Us''","Vous avez terminé ''Toutes vos briques sont à nous''.","Du hast „Alle deine Steine sind gehören uns“ beendet","Completaste «Todos tus ladrillos nos pertenecen»","Hai completato ''Tutti i tuoi mattoncini appartengono a noi''","Gennemførte 'Alle dine sten tilhører os'","Vous avez terminé ''Toutes vos briques sont à nous''.","Voltooid: 'All your stenen are belong to us'","Completaste «Todos sus ladrillos son nos pertenecen»"
"A10_NAME_OF_ACHIEVEMENT","All","Ach_Name","Enter Your Initials: ''AAA''","Enter Your Initials: ''AAA''","Saisissez votre nom : ''AAA''","Gib deinen Namen ein: AAA","Introduce tus iniciales: «AAA»","Immetti le tue iniziali: ''AAA''","Indtast dine initialer: AAA","Saisissez votre nom : ''AAA''","Voer je initialen in: 'AAA'","Escribe tus iniciales: «AAA»"
"A11_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Mystery Mansion Mash-Up''","Complete ''Mystery Mansion Mash-Up''","Terminez ''Bouleversement au manoir hanté''.","Beende „Mystery Mansion“","Completa «Mezcla en la mansión misteriosa»","Completa ''Accozzaglia nella villa del mistero''","Gennemfør 'Mystisk palæ-palaver'","Terminez ''Bouleversement au manoir hanté''.","Voltooi 'Mash-up in het mysterieuze landhuis'","Completa «Mezcla en la mansión misteriosa»"
"A11_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Mystery Mansion Mash-Up''","Completed ''Mystery Mansion Mash-Up''","Vous avez terminé ''Bouleversement au manoir hanté''.","Du hast „Mystery Mansion“ beendet","Completaste «Mezcla en la mansión misteriosa»","Hai completato ''Accozzaglia nella villa del mistero''","Gennemførte 'Mystisk palæ-palaver'","Vous avez terminé ''Bouleversement au manoir hanté''.","Voltooid: 'Mash-up in het mysterieuze landhuis'","Completaste «Mezcla en la mansión misteriosa»"
"A11_NAME_OF_ACHIEVEMENT","All","Ach_Name","Zoinks!","Zoinks!","Mordicus !","Zoinks!","¡Córcholis!","Cielo!","Zoinks!","Mordicus !","Toink!","¡Caracoles!"
"A12_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Prime Time''","Complete ''Prime Time''","Terminez ''Prime Time''.","Beende „Die Ur-Zeit“","Completa «Horario supremo»","Completa ''In principio''","Gennemfør 'Primuskernen'","Terminez ''Prime Time''.","Voltooi 'Primustijd'","Completa «Horario supremo»"
"A12_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Prime Time''","Completed ''Prime Time''","Vous avez terminé ''Prime Time''.","Du hast „Die Ur-Zeit“ beendet","Completaste «Horario supremo»","Hai completato ''In principio''","Gennemførte 'Primuskernen'","Vous avez terminé ''Prime Time''.","Voltooid: 'Primustijd'","Completaste «Horario supremo»"
"A12_NAME_OF_ACHIEVEMENT","All","Ach_Name","Tri Again Next Time","Tri Again Next Time","Trois fois plus fort !","Vielleicht beim nächsten Mal","La próxima será un trío","Il ritorno del Tri","Prøv igen!","Trois fois plus fort !","Tri-omfeer de volgende keer","La próxima será tri-ple"
"A13_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''The End is Tri''","Complete ''The End is Tri''","Terminez ''La fin du Trois''.","Beende „Die Tri sind hie“","Completa «El fin del Trío»","Completa ''La fine del Tri''","Gennemfør 'Enden er trefoldig'","Terminez ''La fin du Trois''.","Voltooi 'De Tri-omf is nabij'","Completa «Este es el Tri-fin»"
"A13_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''The End is Tri''","Completed ''The End is Tri''","Vous avez terminé ''La fin du Trois''.","Du hast „Die Tri sind hie“ beendet","Completaste «El fin del Trío»","Hai completato ''La fine del Tri''","Gennemførte 'Enden er trefoldig'","Vous avez terminé ''La fin du Trois''.","Voltooid: 'De Tri-omf is nabij'","Completaste «Este es el Tri-fin»"
"A13_NAME_OF_ACHIEVEMENT","All","Ach_Name","Tri Hard with a Vengeance!","Tri Hard with a Vengeance!","Trois fois la vengeance !","Ein gräuliches Wiedersehen","La venganza del Trío","Vendicati del Tri!","Prøv igen: Med Hævntørst!","Trois fois la vengeance !","Tri-omfeer als een speer!","¡Tri-ple impacto!"
"A14_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''The Final Dimension''","Complete ''The Final Dimension''","Terminez ''Ultime dimension''.","Beende „Die letzte Dimension“","Completa «La dimensión final»","Completa ''L'ultima dimensione''","Gennemfør 'Sidste Dimension'","Terminez ''Ultime dimension''.","Voltooi 'De laatste dimensie'","Completa «La dimensión final»"
"A14_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''The Final Dimension''","Completed ''The Final Dimension''","Vous avez terminé ''Ultime dimension''.","Du hast „Die letzte Dimension“ beendet","Completaste «La dimensión final»","Hai completato ''L'ultima dimensione''","Gennemførte 'Sidste Dimension'","Vous avez terminé ''Ultime dimension''.","Voltooid: 'De laatste dimensie'","Completaste «La dimensión final»"
"A14_NAME_OF_ACHIEVEMENT","All","Ach_Name","A Serious Loophole","A Serious Loophole","Une faille sérieuse","Ein Schlupfloch ohne Ausweg","Un fallo serio","Una via d'uscita critica","Et seriøst smuthul","Une faille sérieuse","De uitvlucht","Continuidad grave"
"A15_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Rebuild the LEGO Gateway","Rebuild the LEGO Gateway","Reconstruisez le Gateway LEGO.","Bau das LEGO-Tor wieder auf","Reconstruye el portal de LEGO","Ricostruisci il portale LEGO","Genopbyg din LEGO Gateway","Reconstruisez le Gateway LEGO.","Herstel de LEGO-doorgang","Reconstruye el portal de LEGO"
"A15_DESC2_OF_ACHIEVEMENT","All","Marketing","Rebuilt the LEGO Gateway","Rebuilt the LEGO Gateway","Vous avez reconstruit le Gateway LEGO.","Du hast das LEGO-Tor wiederaufgebaut","Reconstruiste el portal de LEGO","Hai ricostruito il portale LEGO","Genopbyggede din LEGO Gateway","Vous avez reconstruit le Gateway LEGO.","De LEGO-doorgang hersteld","Reconstruiste el portal de LEGO"
"A15_NAME_OF_ACHIEVEMENT","All","Ach_Name","Time to Break the Rules!","Time to Break the Rules!","Temps de briser les règles !","Zeit, die Regeln zu brechen!","¡Hora de romper las reglas!","Infrangiamo le regole!","Så skal reglerne brydes!","Temps de briser les règles !","Tijd om de regels te overtreden!","¡Hora de romper las reglas!"
"A16_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete all story levels","Complete all story levels","Terminez tous les niveaux Histoire.","Beende alle Geschichten-Levels","Completa todos los niveles de la historia","Completa tutti i livelli della storia","Gennemfør alle historie-baner","Terminez tous les niveaux Histoire.","Voltooi alle verhaallevels","Completa todos los niveles de la historia"
"A16_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed all story levels","Completed all story levels","Vous avez terminé tous les niveaux Histoire.","Du hast alle Geschichten-Levels beendet","Completaste todos los niveles de la historia","Hai completato tutti i livelli della storia","Gennemførte alle historie-baner","Vous avez terminé tous les niveaux Histoire.","Alle verhaallevels voltooid","Completaste todos los niveles de la historia"
"A16_NAME_OF_ACHIEVEMENT","All","Ach_Name","Broke the Rules!","Broke the Rules!","Règles brisées !","Die Regeln gebrochen!","¡Rompiste las reglas!","Hai infranto le regole!","Brød alle reglerne!","Règles brisées !","De regels zijn overtreden!","¡Rompiste las reglas!"
"A17_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect all of the Gateway Keystones","Collect all of the Gateway Keystones","Récoltez toutes les Pierres maîtresses du Gateway.","Sammle alle Schlüsselsteine ein","Recoge todas las Piedras angulares del portal","Raccogli tutte le chiavi del portale","Indsaml alle Gateway-nøgleklodserne","Récoltez toutes les Pierres maîtresses du Gateway.","Verzamel alle doorgang-toetsstenen","Junta todas las piedras del portal"
"A17_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected all of the Gateway Keystones","Collected all of the Gateway Keystones","Vous avez récolté toutes les Pierres maîtresses du Gateway.","Du hast alle Schlüsselsteine eingesammelt","Recogiste todas las Piedras angulares del portal","Hai raccolto tutte le chiavi del portale","Indsamlede alle Gateway-nøgleklodserne","Vous avez récolté toutes les Pierres maîtresses du Gateway.","Alle doorgang-toetsstenen verzameld","Juntaste todas las piedras del portal"
"A17_NAME_OF_ACHIEVEMENT","All","Ach_Name","The Keystone to Victory","The Keystone to Victory","Maîtriser une Pierre maîtresse","Der Schlüsselstein zum Sieg","La Piedra angular de la victoria","La chiave della vittoria","Nøgleklodsen til sejr","Maîtriser une Pierre maîtresse","De sleutelsteen der overwinning","La piedra de la victoria"
"A18_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect 30 Minikits from levels","Collect 30 Minikits from levels","Récoltez 30 minikits dans les niveaux.","Sammle in Levels 30 Minikits ein","Recoge 30 minikits de los niveles","Raccogli 30 minikit nei livelli","Indsaml 30 minikits på banerne","Récoltez 30 minikits dans les niveaux.","Verzamel 30 minisets in levels","Reúne 30 minikits de los niveles"
"A18_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected 30 Minikits from levels","Collected 30 Minikits from levels","Vous avez récolté 30 minikits dans les niveaux.","Du hast in Levels 30 Minikits eingesammelt","Recogiste 30 minikits de los niveles","Hai raccolto 30 minikit nei livelli","Indsamlede 30 minikits på banerne","Vous avez récolté 30 minikits dans les niveaux.","30 minisets in levels verzameld","Acumulaste 30 minikits de los niveles"
"A18_NAME_OF_ACHIEVEMENT","All","Ach_Name","Rare Artefacts, collected!","Rare Artefacts, collected!","De rares artefacts récoltés","Seltene Artefakte: eingesammelt!","Artefactos raros... recogidos","Manufatti rari... raccolti!","Fundet sjældne relikvier","De rares artefacts récoltés","Zeldzame artefacten, verzameld!","Recogiste los artefactos raros"
"A19_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Upgrade the Batmobile to Model 2","Upgrade the Batmobile to Model 2","Améliorez la Batmobile à la Maquette 2.","Rüste das Batmobil zu Modell 2 auf","Mejora el Batmóvil a modelo 2","Aggiorna la Batmobile al modello 2","Opgrader Batmobilen til model 2","Améliorez la Batmobile à la Maquette 2.","Upgrade de Batmobile naar model 2","Mejora el batimóvil a modelo 2"
"A19_DESC2_OF_ACHIEVEMENT","All","Marketing","Upgraded the Batmobile to Model 2","Upgraded the Batmobile to Model 2","Vous avez amélioré la Batmobile à la Maquette 2.","Du hast das Batmobil zu Modell 2 aufgerüstet","Mejoraste el Batmóvil a modelo 2","Hai aggiornato la Batmobile al modello 2","Opgraderede Batmobilen til model 2","Vous avez amélioré la Batmobile à la Maquette 2.","De Batmobile geüpgraded naar model 2","Mejoraste el batimóvil a modelo 2"
"A19_NAME_OF_ACHIEVEMENT","All","Ach_Name","Na na na na na na na upgrades!","Na na na na na na na upgrades!","Na na na na na améliorations !","Na-na-na-na-na-na-na-na, BESSER!","¡Na na na na na na na mejoras!","Na na na na na na aggiornamenti!","Na na na na na na opgraderinger!","Na na na na na améliorations !","Na na na na na na na upgrades!","¡Na na na na na na na mejoras!"
"A20_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Upgrade the Batmobile to Model 3","Upgrade the Batmobile to Model 3","Améliorez la Batmobile à la Maquette 3.","Rüste das Batmobil zu Modell 3 auf","Mejora el Batmóvil a modelo 3","Aggiorna la Batmobile al modello 3","Opgrader Batmobilen til model 3","Améliorez la Batmobile à la Maquette 3.","Upgrade de Batmobile naar model 3","Mejora el batimóvil a modelo 3"
"A20_DESC2_OF_ACHIEVEMENT","All","Marketing","Upgraded the Batmobile to Model 3","Upgraded the Batmobile to Model 3","Vous avez amélioré la Batmobile à la Maquette 3.","Du hast das Batmobil zu Modell 3 aufgerüstet","Mejoraste el Batmóvil a modelo 3","Hai aggiornato la Batmobile al modello 3","Opgraderede Batmobilen til model 3","Vous avez amélioré la Batmobile à la Maquette 3.","De Batmobile geüpgraded naar model 3","Mejoraste el batimóvil a modelo 3"
"A20_NAME_OF_ACHIEVEMENT","All","Ach_Name","Holy Upgrades, Batman!","Holy Upgrades, Batman!","Nom d'une amélioration, Batman !","Heilige Aufrüstung, Batman!","¡Santas mejoras, Batman!","Santi numi aggiornati, Batman!","Sikke nogle opgraderinger Batman","Nom d'une amélioration, Batman !","Vette upgrades, Batman!","¡Santas mejoras, Batman!"
"A21_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Visit any Hub World for the First Time","Visit any Hub World for the First Time","Visitez un monde Hub pour la première fois.","Besuche eine der Welten zum ersten Mal","Visita un mundo del centro por primera vez","Visita un mondo hub per la prima volta","Besøg en hub-verden for første gang","Visitez un monde Hub pour la première fois.","Bezoek een willekeurige Hub-wereld voor de eerste keer","Visita cualquier mundo central por primera vez"
"A21_DESC2_OF_ACHIEVEMENT","All","Marketing","Visited any Hub World for the First Time","Visited any Hub World for the First Time","Vous avez visité un monde Hub pour la première fois.","Du hast eine der Welten zum ersten Mal besucht","Visitaste un mundo del centro por primera vez","Hai visitato un mondo hub per la prima volta","Besøgte en hub-verden for første gang","Vous avez visité un monde Hub pour la première fois.","Een willekeurige Hub-wereld voor de eerste keer bezocht","Visitaste cualquier mundo central por primera vez"
"A21_NAME_OF_ACHIEVEMENT","All","Ach_Name","Home, Sweet Home","Home, Sweet Home","Home Sweet Home","Trautes Heim","Hogar, dulce hogar","Casa dolce casa","Hjem kære hjem","Home Sweet Home","Zoals het klokje thuis tikt...","Hogar, dulce hogar"
"A22_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Visit the homes of Batman, Gandalf and Wyldstyle","Visit the homes of Batman, Gandalf and Wyldstyle","Visitez les mondes de Batman, Gandalf et Cool Tag.","Besuch die Welten von Batman, Gandalf und Wyldstyle","Visita los mundos de Batman, Gandalf y Supercool","Visita le case di Batman, Gandalf e Wyldstyle","Besøgte Batman, Gandalf og Graffititøsens hjem","Visitez les mondes de Batman, Gandalf et Wyldstyle.","Bezoek de huizen van Batman, Gandalf en Wyldstyle","Visita los mundos de Batman, Gandalf y Estilo-libre"
"A22_DESC2_OF_ACHIEVEMENT","All","Marketing","Visited the homes of Batman, Gandalf and Wyldstyle","Visited the homes of Batman, Gandalf and Wyldstyle","Vous avez visité les mondes de Batman, Gandalf et Cool Tag.","Du hast die Welten von Batman, Gandalf und Wyldstyle besucht","Visitaste los mundos de Batman, Gandalf y Supercool","Hai visitato le case di Batman, Gandalf e Wyldstyle","Besøgte Batman, Gandalf og Graffititøsens hjem","Vous avez visité les mondes de Batman, Gandalf et Wyldstyle.","De huizen van Batman, Gandalf en Wyldstyle bezocht","Visitaste los mundos de Batman, Gandalf y Estilo-libre"
